Year,Loan bal,Interest,Principal,Land,Structure,Premium,Gross value,Land %,Market rent,Gross rent,NOI,Post-tax CF,Taxable HP,Tax/shield,Carry-fwd loss,Reinvest pot,Equity pot,RE net worth,Eq net worth,Cash check
1,0,0,0,5520000,0,1980000,7500000,0.736,0,0,0,0,0,0,0,0,22400000.00000001,7500000,22400000.00000001,0
2,0,0,0,6347999.999999999,0,1800000,8147999.999999999,0.7790868924889544,0,0,0,0,0,0,0,0,25088000.00000003,8147999.999999999,25088000.00000003,0
3,0,0,0,7300199.999999998,0,1620000,8920199.999999998,0.818389722203538,0,0,0,0,0,0,0,0,28098560.00000006,8920199.999999998,28098560.00000006,0
4,0,0,0,8395229.999999998,0,1440000.0000000002,9835229.999999998,0.8535875622634143,0,0,0,0,0,0,0,0,31470387.200000096,9835229.999999998,31470387.200000096,0
5,0,0,0,9654514.499999996,0,1259999.9999999998,10914514.499999996,0.8845573937347373,0,0,0,0,0,0,0,0,35246833.66400013,10914514.499999996,35246833.66400013,0
6,0,0,0,11102691.674999995,0,1080000,12182691.674999995,0.9113496402263664,0,0,0,0,0,0,0,0,39476453.70368019,12182691.674999995,39476453.70368019,0
7,0,0,0,12768095.426249992,0,899999.9999999999,13668095.426249992,0.934153225308076,0,0,0,0,0,0,0,0,44213628.14812185,13668095.426249992,44213628.14812185,0
8,0,0,0,14683309.74018749,0,720000.0000000001,15403309.74018749,0.9532567992110482,0,0,0,0,0,0,0,0,49519263.525896505,15403309.74018749,49519263.525896505,0
9,0,0,0,16885806.20121561,0,540000,17425806.20121561,0.9690114767853708,0,0,0,0,0,0,0,0,55461575.149004124,17425806.20121561,55461575.149004124,0
10,0,0,0,19418677.13139795,0,359999.99999999994,19778677.13139795,0.9817985804809709,0,0,0,0,0,0,0,0,62116964.16688467,19778677.13139795,62116964.16688467,0
11,0,0,0,22331478.701107647,0,180000.0000000001,22511478.701107647,0.9920040792348686,0,0,0,0,0,0,0,0,69570999.86691087,22511478.701107647,69570999.86691087,0
12,0,0,0,25681200.506273787,0,0,25681200.506273787,1,0,0,0,0,0,0,0,0,77919519.85094026,25681200.506273787,77919519.85094026,0
13,0,0,0,29533380.582214855,0,0,29533380.582214855,1,0,0,0,0,0,0,0,0,87269862.23305315,29533380.582214855,87269862.23305315,0
14,0,0,0,33963387.66954708,0,0,33963387.66954708,1,0,0,0,0,0,0,0,0,97742245.7010196,33963387.66954708,97742245.7010196,0
15,0,0,0,39057895.81997914,0,0,39057895.81997914,1,0,0,0,0,0,0,0,0,109471315.18514204,39057895.81997914,109471315.18514204,0
16,0,0,0,44916580.19297601,0,0,44916580.19297601,1,0,0,0,0,0,0,0,0,122607873.00735922,44916580.19297601,122607873.00735922,0
17,0,0,0,51654067.2219224,0,0,51654067.2219224,1,0,0,0,0,0,0,0,0,137320817.76824245,51654067.2219224,137320817.76824245,0
18,0,0,0,59402177.305210754,0,0,59402177.305210754,1,0,0,0,0,0,0,0,0,153799315.9004317,59402177.305210754,153799315.9004317,0
19,0,0,0,68312503.90099236,0,0,68312503.90099236,1,0,0,0,0,0,0,0,0,172255233.8084836,68312503.90099236,172255233.8084836,0
20,0,0,0,78559379.4861412,0,0,78559379.4861412,1,0,0,0,0,0,0,0,0,192925861.8655018,78559379.4861412,192925861.8655018,0